Date	Order	Scored	Against	Place	Result	Type	Rival
05.04.1908	1	3	5	away	lost	friendly	Other
20.04.1908	2	1	5	home	lost	friendly	World
07.06.1908	3	2	3	away	lost	friendly	Other
13.03.1909	4	0	9	away	lost	friendly	World
04.04.1909	5	1	0	home	won	friendly	Other
04.04.1909	6	3	3	away	drawn	friendly	Other
03.04.1910	7	3	2	away	won	friendly	Other
24.04.1910	8	2	4	away	lost	friendly	Other
16.05.1910	9	0	3	home	lost	friendly	Other
16.10.1910	10	1	2	home	lost	friendly	Other
25.03.1911	11	6	2	home	won	friendly	Other
14.04.1911	12	2	2	home	drawn	friendly	World
23.04.1911	13	1	2	away	lost	friendly	Other
18.06.1911	14	4	2	away	won	friendly	Other
10.09.1911	15	1	2	home	lost	friendly	Other
29.10.1911	16	1	3	home	lost	friendly	Other
17.12.1911	17	1	4	home	lost	friendly	Other
24.03.1912	18	5	5	away	drawn	friendly	Other
14.04.1912	19	4	4	away	drawn	friendly	Other
05.05.1912	20	2	1	away	won	friendly	Other
29.06.1912	21	1	5	away	lost	official	Other
01.07.1912	22	16	0	away	won	official	Other
03.07.1912	23	1	3	away	lost	official	Other
06.10.1912	24	1	3	away	lost	friendly	Other
17.11.1912	25	2	3	home	lost	friendly	Other
21.03.1913	26	0	3	home	lost	friendly	World
18.05.1913	27	1	2	home	lost	friendly	Other
26.10.1913	28	1	4	home	lost	friendly	Other
23.11.1913	29	2	6	away	lost	friendly	Other
05.04.1914	30	4	4	away	drawn	friendly	Other
27.06.1920	31	1	4	away	lost	friendly	Other
26.09.1920	32	2	3	away	lost	friendly	Other
24.10.1920	33	1	0	home	won	friendly	Other
05.05.1921	34	3	3	home	drawn	friendly	Other
05.06.1921	35	0	3	away	lost	friendly	Other
18.09.1921	36	3	3	away	drawn	friendly	Other
26.03.1922	37	2	2	home	drawn	friendly	Other
23.04.1922	38	2	0	away	won	friendly	Other
02.07.1922	39	0	0	home	drawn	friendly	Other
01.01.1923	40	1	3	away	lost	friendly	World
10.05.1923	41	0	0	home	drawn	friendly	Other
03.06.1923	42	2	1	away	won	friendly	Other
29.06.1923	43	1	2	away	lost	friendly	Other
12.08.1923	44	1	2	home	lost	friendly	Other
04.11.1923	45	1	0	home	won	friendly	Other
13.01.1924	46	4	3	home	won	friendly	Other
21.04.1924	47	1	0	away	won	friendly	Other
15.06.1924	48	2	0	away	won	friendly	Other
31.08.1924	49	1	4	home	lost	friendly	Other
21.09.1924	50	1	4	away	lost	friendly	Other
23.11.1924	51	0	1	home	lost	friendly	World
14.12.1924	52	1	1	home	drawn	friendly	Other
29.03.1925	53	1	2	away	lost	friendly	Other
21.06.1925	54	0	1	away	lost	friendly	Other
26.06.1925	55	5	3	away	won	friendly	Other
25.10.1925	56	4	0	away	won	friendly	Other
18.04.1926	57	4	2	home	won	friendly	Other
20.06.1926	58	3	3	home	drawn	friendly	Other
31.10.1926	59	3	2	away	won	friendly	Other
12.12.1926	60	2	3	home	lost	friendly	Other
02.10.1927	61	1	3	away	lost	friendly	Other
23.10.1927	62	6	2	home	won	friendly	Other
20.11.1927	63	2	2	home	drawn	friendly	Other
15.04.1928	64	3	2	away	won	friendly	Other
28.05.1928	65	4	0	away	won	official	Other
03.06.1928	66	1	4	away	lost	official	World
16.09.1928	67	2	1	home	won	friendly	Other
23.09.1928	68	2	0	away	won	friendly	Other
30.09.1928	69	0	2	away	lost	friendly	Other
10.02.1929	70	7	1	home	won	friendly	Other
28.04.1929	71	2	1	away	won	friendly	World
01.06.1929	72	1	1	home	drawn	friendly	Other
23.06.1929	73	3	0	home	won	friendly	Other
20.10.1929	74	4	0	home	won	friendly	Other
02.03.1930	75	0	2	home	lost	friendly	World
04.05.1930	76	5	0	away	won	friendly	Other
10.05.1930	77	3	3	home	drawn	friendly	World
07.09.1930	78	3	6	away	lost	friendly	Other
28.09.1930	79	5	3	home	won	friendly	Other
02.11.1930	80	1	1	home	drawn	friendly	Other
15.03.1931	81	0	1	away	lost	friendly	World
26.04.1931	82	1	1	away	drawn	friendly	Other
24.05.1931	83	0	6	home	lost	friendly	Other
17.06.1931	84	0	0	away	drawn	friendly	Other
21.06.1931	85	2	2	away	drawn	friendly	Other
13.09.1931	86	0	5	away	lost	friendly	Other
27.09.1931	87	4	2	home	won	friendly	Other
06.03.1932	88	2	0	home	won	friendly	Other
01.07.1932	89	4	1	away	won	friendly	Other
25.09.1932	90	4	3	home	won	friendly	Other
30.10.1932	91	1	2	away	lost	friendly	Other
04.12.1932	92	0	2	home	lost	friendly	Other
01.01.1933	93	1	3	away	lost	friendly	World
19.03.1933	94	3	3	home	drawn	friendly	World
22.10.1933	95	8	1	home	won	friendly	Other
05.11.1933	96	2	2	home	drawn	friendly	Other
19.11.1933	97	2	0	away	won	friendly	Other
03.12.1933	98	1	0	home	won	friendly	Other
14.01.1934	99	3	1	home	won	friendly	Other
11.03.1934	100	9	1	away	won	official	Other
27.05.1934	101	5	2	away	won	official	Other
31.05.1934	102	2	1	away	won	official	Other
03.06.1934	103	1	3	away	lost	official	Other
07.06.1934	104	3	2	away	won	official	Other
09.09.1934	105	5	2	away	won	friendly	Other
07.10.1934	106	5	2	away	won	friendly	Other
27.01.1935	107	4	0	home	won	friendly	Other
17.02.1935	108	3	2	away	won	friendly	Other
17.03.1935	109	3	1	away	won	friendly	World
28.04.1935	110	6	1	away	won	friendly	Other
08.05.1935	111	3	1	home	won	friendly	Other
12.05.1935	112	1	2	home	lost	friendly	World
26.05.1935	113	2	1	home	won	friendly	Other
27.06.1935	114	1	1	away	drawn	friendly	Other
30.06.1935	115	1	3	away	lost	friendly	Other
18.08.1935	116	6	0	home	won	friendly	Other
18.08.1935	117	1	0	away	won	friendly	Other
25.08.1935	118	4	2	home	won	friendly	Other
15.09.1935	119	1	0	home	won	friendly	Other
15.09.1935	120	5	0	home	won	friendly	Other
13.10.1935	121	3	0	home	won	friendly	Other
20.10.1935	122	4	2	home	won	friendly	Other
04.12.1935	123	0	3	away	lost	friendly	World
23.02.1936	124	2	1	away	won	friendly	World
27.02.1936	125	3	1	away	won	friendly	Other
15.03.1936	126	2	3	away	lost	friendly	Other
04.08.1936	127	9	0	home	won	official	Other
07.08.1936	128	0	2	home	lost	official	Other
13.09.1936	129	1	1	away	drawn	friendly	Other
27.09.1936	130	7	2	home	won	friendly	Other
27.09.1936	131	2	1	away	won	friendly	Other
14.10.1936	132	0	2	away	lost	friendly	Other
17.10.1936	133	2	5	away	lost	friendly	Other
15.11.1936	134	2	2	home	drawn	friendly	World
31.01.1937	135	2	2	home	drawn	friendly	Other
21.03.1937	136	4	0	home	won	friendly	World
21.03.1937	137	3	2	away	won	friendly	Other
25.04.1937	138	1	0	home	won	friendly	Other
02.05.1937	139	1	0	away	won	friendly	Other
16.05.1937	140	8	0	home	won	friendly	Other
25.06.1937	141	3	1	away	won	friendly	Other
29.06.1937	142	2	0	away	won	official	Other
29.08.1937	143	4	1	home	won	official	Other
24.10.1937	144	3	0	home	won	friendly	Other
21.11.1937	145	5	0	home	won	official	Other
06.02.1938	146	1	1	home	drawn	friendly	Other
20.03.1938	147	1	1	home	drawn	friendly	Other
20.03.1938	148	2	1	home	won	friendly	Other
24.04.1938	149	1	1	home	drawn	friendly	Other
14.05.1938	150	3	6	home	lost	friendly	World
04.06.1938	151	1	1	away	drawn	official	Other
09.06.1938	152	2	4	away	lost	official	Other
18.09.1938	153	4	1	home	won	friendly	Other
25.09.1938	154	4	1	away	won	friendly	Other
25.01.1939	155	4	1	away	won	friendly	Other
26.02.1939	156	3	2	home	won	friendly	Other
26.03.1939	157	2	3	away	lost	friendly	World
26.03.1939	158	1	2	away	lost	friendly	Other
23.05.1939	159	1	1	home	drawn	friendly	Other
22.06.1939	160	4	0	away	won	friendly	Other
25.06.1939	161	2	0	away	won	friendly	Other
29.06.1939	162	2	0	away	won	friendly	Other
27.08.1939	163	0	2	away	lost	friendly	Other
24.09.1939	164	1	5	away	lost	friendly	Other
15.10.1939	165	5	1	away	won	friendly	Other
22.10.1939	166	2	1	away	won	friendly	Other
12.11.1939	167	4	4	home	drawn	friendly	Other
26.11.1939	168	5	2	home	won	friendly	World
03.12.1939	169	3	1	home	won	friendly	Other
07.04.1940	170	2	2	home	drawn	friendly	Other
14.04.1940	171	1	2	home	lost	friendly	Other
05.05.1940	172	2	3	away	lost	friendly	World
